district,date,month,year,visitors,visitor_type
Karimnagar,2017-02-01,February,2017,10845,Domestic
Karimnagar,2017-03-01,March,2017,9625,Domestic
Karimnagar,2017-04-01,April,2017,8630,Domestic
Karimnagar,2017-05-01,May,2017,8890,Domestic
Karimnagar,2017-06-01,June,2017,10542,Domestic
Karimnagar,2017-07-01,July,2017,12350,Domestic
Karimnagar,2017-08-01,August,2017,10952,Domestic
Karimnagar,2017-09-01,September,2017,7576,Domestic
Karimnagar,2017-10-01,October,2017,8371,Domestic
Karimnagar,2017-11-01,November,2017,8705,Domestic
Karimnagar,2017-12-01,December,2017,13065,Domestic
Khammam,2017-01-01,January,2017,132528,Domestic
Khammam,2017-02-01,February,2017,115470,Domestic
Khammam,2017-03-01,March,2017,101878,Domestic
Khammam,2017-04-01,April,2017,135920,Domestic
Khammam,2017-05-01,May,2017,138799,Domestic
Khammam,2017-06-01,June,2017,138158,Domestic
Khammam,2017-07-01,July,2017,105102,Domestic
Khammam,2017-08-01,August,2017,129159,Domestic
Khammam,2017-09-01,September,2017,140821,Domestic
Khammam,2017-10-01,October,2017,155943,Domestic
Khammam,2017-11-01,November,2017,110800,Domestic
Khammam,2017-12-01,December,2017,137825,Domestic
Komaram Bheem Asifabad,2017-01-01,January,2017,2241,Domestic
Komaram Bheem Asifabad,2017-02-01,February,2017,2490,Domestic
Komaram Bheem Asifabad,2017-03-01,March,2017,2767,Domestic
Komaram Bheem Asifabad,2017-04-01,April,2017,3074,Domestic
Komaram Bheem Asifabad,2017-05-01,May,2017,3416,Domestic
Komaram Bheem Asifabad,2017-06-01,June,2017,3796,Domestic
Komaram Bheem Asifabad,2017-07-01,July,2017,3713,Domestic
Komaram Bheem Asifabad,2017-08-01,August,2017,3665,Domestic
Komaram Bheem Asifabad,2017-09-01,September,2017,3934,Domestic
